Bill Name,Long Title,Distance to Centroid,Silhouette Score
HB3420,"Directs each civilian or military federal law enforcement agency to prescribe requirements for the safe storage and locking of service firearms when they are not in use. It specifies minimum standards for safe storage and locking, directs agencies to report lost or stolen firearms, and requires agencies to provide training and written materials to law enforcement officers.",0.5540608879894542,0.115972599485576
HB4116,"To amend title 18, United States Code, to combat straw purchases of firearms and deter firearms trafficking.",0.5658680275926451,0.0467044391455243
HB1325,"Establishes a new criminal offense for knowingly assaulting a law enforcement officer causing serious bodily injury (or attempting to do so) in circumstances that affect interstate commerce. It imposes criminal penalties—a prison term of up to 10 years, a fine, or both—on a violator.",0.573863131121689,0.0515841488343512
HB4082,"To prohibit the private purchase or sale of a firearm or ammunition except through a federally licensed firearms dealer, to impose additional requirements on such a dealer, and for other purposes.",0.5759438677898246,0.029766079673612
HB3285,"Authorizes a grant program for states, local governments, and Indian tribes to implement and evaluate handgun purchaser licensing requirements.",0.576337913127598,0.0177772304786944
HB1186,"Establishes a new criminal offense for the import, sale, manufacture, transfer, or possession of a large capacity ammunition feeding device (LCAFD). The bill does not prohibit certain conduct with respect to an LCAFD, including the following: importation, sale, manufacture, transfer, or possession related to certain law enforcement efforts, or authorized tests or experiments; importation, sale, transfer, or possession related to securing nuclear materials; and possession by a retired law enforcement officer. The bill permits continued possession of, but prohibits sale or transfer of, a grandfathered LCAFD. Newly manufactured LCAFDs must display serial number identification and the date of manufacture. Additionally, the bill allows a state or local government to use Edward Byrne Memorial Justice Assistance Grant Program funds to compensate individuals who surrender an LCAFD under a buy-back program.",0.57851679086434,0.0141970101545359
HB2805,"Modifies federal restrictions on the possession of a firearm or dangerous weapon in a federal facility. Specifically, it permits uniformed law enforcement officers to carry agency-issued firearms and dangerous weapons in certain publicly accessible federal facilities.",0.5788172033805402,0.1019085166065624
HB3454,To regulate firearm silencers and firearm mufflers.,0.5791063950687233,0.0181043623365645
HB1156,"To amend title 18, United States Code, to improve the Law Enforcement Officer Safety Act and provisions relating to the carrying of concealed weapons by law enforcement officers, and for other purposes.",0.579227950549104,0.03133552110512
HB1670,"Makes trafficking in firearms a stand-alone criminal offense. A person who commits or conspires to commit a gun trafficking offense is subject to criminal penalties—a prison term of up to 20 years (or up to 25 years, if the person also acted as an organizer), a fine, or both.",0.5820961839971096,0.0572433481158692
HB1297,"Includes armor-piercing, concealable weapons in the definition of firearm under the National Firearms Act.",0.586950166305543,0.0771385000532567
HB4951,"Allows local educational agencies to use specified portions of Student Support and Academic Enrichment grants for planning and designing school buildings and facilities, installing infrastructure, and implementing other measures to strengthen security on school premises. The bill prohibits the use of grant funds for the provision of a firearm or training in the use of a firearm.",0.6246885944609346,0.0055057122034781
HB7906,"Establishes and modifies several requirements for officers and agents of the Department of Homeland Security (DHS) who are designated to protect federal property. In particular, the bill adds specificity to the circumstances under which DHS officers and agents may place individuals under arrest for a felony (without a warrant) in and around federal property. Among other requirements, an arrest must be based on probable cause and must occur on the federal property itself, in the immediate vicinity, or in an area that is covered by an agreement between DHS and another agency or state or local government; arrests may be made in other areas if part of an active pursuit. DHS officers and agents must also (1) display appropriate insignia and their full name while on duty, (2) identify themselves while making an arrest, and (3) inform the individual being arrested as to the cause of the arrest.",0.6281186897339647,-0.0247357560267188
HB8735,"Prohibits a federal agency from purchasing or using a firearm. The bill excludes the Departments of Defense, Justice, and Homeland Security, the military departments, the Nuclear Regulatory Commission, the U.S. Capitol Police, the Bureau of Diplomatic Security, and the Central Intelligence Agency. The Government Accountability Office shall submit to Congress a report that includes specified information regarding each federal agency that has specialized units that receive special tactical or military-style training or use hard-plated body armor, shields, or helmets and that respond to high-risk situations that fall outside the capabilities of regular law enforcement officers.",0.6370332154783176,0.07428560653749
HB5132,"Directs the Financial Crimes Enforcement Network (FinCEN) to collect information from financial institutions and to develop an advisory regarding the reporting of suspicious transactions related to gun violence. Specifically, FinCEN must gather information and develop an advisory related to (1) the procurement of firearms and firearm accessories for the purpose of carrying out lone-wolf acts of terror, and (2) how the U.S. firearms market facilitates gun violence.",0.6468643320813509,0.0059266085813139
HB4691,"Requires safety standards for firearm locks and safes. Under such standards, firearm locks must be reasonably designed to (1) prevent the firearm from discharging while the lock is activated, and (2) prevent unauthorized access to the firearm. Further, firearm safes must be reasonably designed to (1) secure firearms, and (2) prevent unauthorized access to the safe through physical manipulation or damage.",0.6498192663137305,-0.0015764921555777
HB5849,"Directs the Department of Homeland Security to establish a new unit—a Border Enforcement Security Task Force unit—to investigate transnational criminal organization arms smuggling across the international border between the United States and Mexico. The purposes of the new unit include, among other things, reducing arms smuggling from the United States to Mexico.",0.6528100903037037,0.0395390397410006
HB4264,"To require the Secretary of Defense make available certain records relevant to a determination of whether a member of the Armed Forces is disqualified from possessing or receiving a firearm, and for other purposes.",0.6580445553139713,0.0353534656387522
HB1134,"Prohibits the President from removing various items from the U.S. Munitions List, which lists weapons and related equipment that are subject to export controls. Items that the President may not remove from the list include combat shotguns, silencers, flame throwers, electric armor, and various types of ammunition and weapons components.",0.6607456023132174,0.0512170658775766
HB8518,"Directs the Department of Agriculture and the Department of the Interior to make the National Parks and Federal Recreational Lands Pass available, without charge and for the lifetime of the passholder, to law enforcement officers.",0.6841645030726978,0.0293344381038372
HB4883,Reauthorizes for FY2020-FY2025 the Interagency Threat Assessment and Coordination Group and renames the group the Joint Counterterrorism Assessment Team.,0.7335995327788025,0.0028243742342524
